localId,chinese
start_game,开始游戏
load_game,读取进度
game_setting,游戏设置
sys_close,关闭
sys_cancel,取消
sys_confirm,决定
sys_yes,是
sys_no,否
sys_save,储存
sys_load,读取
sys_home,回到主界面
date_display,%s月%s日
date_display_with_year,%s年%s月%s日
age_display,年龄：%s岁
my_money_display,零花钱：%s元
my_intelligence_display,智商：%s
my_emotions_display,情商：%s
my_imaginations_display,想象力：%s
my_rememberence_display,记忆力：%s
my_charms_display,魅力：%s
my_strength_display,体力：%s
my_health_display,健康：%s
my_pressure_display,压力：%s
lab_mon,妈妈
lab_dad,爸爸
lab_work_money,薪水: %s 元
lab_attribute_affect,影响到的属性有：%s
lab_study_well,今天学习了%s，感觉很有收获。(%s)
lab_week_0,星期日
lab_week_1,星期一
lab_week_2,星期二
lab_week_3,星期三
lab_week_4,星期四
lab_week_5,星期五
lab_week_6,星期六
lab_work_well,今天利用业余时间顺利的完成了%s的工作。(%s)
lab_selfstudy_well,今天利用业余时间学习了%s，感觉收获不错。(%s)
lab_play_well,今天利用业余时间进行了%s，感觉很开心。(%s)
lab_data_value,%s: %s
lab_attribute_change,%s:%s
empty,空
lab_filter,过滤
lab_fullname,姓名：%s
lab_parents_job,父母职业：%s
lab_school,学校：%s
lab_profile_title,个人档案
lab_proficiency_value,%s：%s/%s
lab_new_story_year,%s年，新学期开始前
lab_start,出发
lab_operation_hint,操作提示