actionId,name,condition,baseSalary,realSalary,proficiencyId,addProficiency,attributeChange,personalityChange,description
id,language,string,int,int,friend_id,int,friend_id_map,friend_id_map,language
string,chinese,-,-,-,Proficiency,-,Attribute;int,Personality;int,chinese
writable,N,N,N,Y,N,N,N,N,N
wash_bowl,做家务 (洗碗),,2,2,work_wash_bowl,6,"pressure,1;rememberence,1","extraversion_introversion,-1",洗碗的说明
buy_food,做家务 (买菜),int.gamedata.work.wash_bowl.proficiency>int.40,3,3,work_buy_food,6,"pressure,1;intelligence,1;strength,1","extraversion_introversion,1",买菜的说明
cook_rice,做家务（煮饭）,,3,3,cook_rice,6,"pressure,1;intelligence,1;strength,2","extraversion_introversion,2",做家务（煮饭）
cook_food,做家务（烧菜）,,3,3,cook_food,6,"pressure,1;intelligence,1;strength,3","extraversion_introversion,3",做家务（烧菜）
clean,做家务（大扫除）,,3,3,clean,6,"pressure,1;intelligence,1;strength,4","extraversion_introversion,4",做家务（大扫除）
typing,帮忙打字,,3,3,typing,6,"pressure,1;intelligence,1;strength,5","extraversion_introversion,5",帮忙打字
copy_homework,代写作业,,3,3,copy_homework,6,"pressure,1;intelligence,1;strength,6","extraversion_introversion,6",代写作业
nanny,带小孩,,3,3,nanny,6,"pressure,1;intelligence,1;strength,7","extraversion_introversion,7",带小孩
post_design,设计海报,,3,3,post_design,6,"pressure,1;intelligence,1;strength,8","extraversion_introversion,8",设计海报
programming,程序编写,,3,3,programming,6,"pressure,1;intelligence,1;strength,9","extraversion_introversion,9",程序编写
basketball_pal,篮球陪练,,3,3,basketball_pal,6,"pressure,1;intelligence,1;strength,10","extraversion_introversion,10",篮球陪练
pingpong_pal,乒乓球陪练,,3,3,pingpong_pal,6,"pressure,1;intelligence,1;strength,11","extraversion_introversion,11",乒乓球陪练
badmitton_pal,羽毛球陪练,,3,3,badmitton_pal,6,"pressure,1;intelligence,1;strength,12","extraversion_introversion,12",羽毛球陪练
math_teaching,数学家教,,3,3,math_teaching,6,"pressure,1;intelligence,1;strength,13","extraversion_introversion,13",数学家教
chinese_teaching,语文家教,,3,3,chinese_teaching,6,"pressure,1;intelligence,1;strength,14","extraversion_introversion,14",语文家教
english_teaching,英语家教,,3,3,english_teaching,6,"pressure,1;intelligence,1;strength,15","extraversion_introversion,15",英语家教
physics_teaching,物理家教,,3,3,physics_teaching,6,"pressure,1;intelligence,1;strength,16","extraversion_introversion,16",物理家教
chemistry_teaching,化学家教,,3,3,chemistry_teaching,6,"pressure,1;intelligence,1;strength,17","extraversion_introversion,17",化学家教
biology_teaching,生物家教,,3,3,biology_teaching,6,"pressure,1;intelligence,1;strength,18","extraversion_introversion,18",生物家教
postage_sending,快递员,,3,3,postage_sending,6,"pressure,1;intelligence,1;strength,19","extraversion_introversion,19",快递员
carrying,搬运工,,3,3,carrying,6,"pressure,1;intelligence,1;strength,20","extraversion_introversion,20",搬运工
ppt_design,PPT 设计,,3,3,ppt_design,6,"pressure,1;intelligence,1;strength,21","extraversion_introversion,21",PPT 设计